user_id,place_id,rating,liked,visited,interaction_type
U4,486,4.5,1,0,liked
U8,159,4.7,1,1,visited
U18,562,4.8,1,1,visited
U1,307,4.5,1,1,visited
U18,108,4.7,1,0,liked
U18,493,4.6,1,1,visited
U1,488,4.8,1,1,visited
U9,764,4.7,1,1,visited
U4,495,4.7,1,1,visited
U12,765,5,1,1,visited
U15,514,4.8,1,1,liked
U3,378,4.9,1,1,visited
U19,134,4.5,1,0,liked
U2,351,4.8,1,1,visited
U3,774,4.9,1,0,liked
U13,593,4.8,1,1,visited
U6,714,4.8,1,1,visited
U3,467,4.6,1,1,visited
U6,621,4.7,1,1,visited
U11,685,4.5,1,1,visited
U11,620,4.9,1,1,visited
U19,312,5,1,1,liked
U13,358,4.8,1,1,visited
U5,305,4.6,1,0,liked
U18,621,4.6,1,0,liked
U14,349,4.7,1,1,visited
U5,392,4.7,1,1,visited
U4,568,4.6,1,1,liked
U20,436,4.6,1,1,liked
U17,693,4.8,1,0,liked
U1,302,4.9,1,0,liked
U18,539,4.6,1,0,liked
U11,89,4.5,1,1,visited
U15,665,4.6,1,0,liked
U9,343,4.6,1,0,liked
U17,732,4.4,1,0,liked
U10,392,4.8,1,1,visited
U5,3,4.6,1,0,liked
U18,741,4.8,1,0,liked
U20,245,4.8,1,1,visited
U12,660,4.8,1,1,visited
U19,49,4.5,1,1,liked
U3,282,4.6,1,0,liked
U5,574,5,1,1,visited
U9,690,4.6,1,0,liked
U14,231,4.6,1,0,liked
U7,510,4.9,1,1,visited
U15,269,4.6,1,1,visited
U8,742,4.7,1,1,visited
U19,528,4.5,1,1,visited
U8,502,4.6,1,0,liked
U11,354,4.4,1,1,visited
U16,758,4.5,1,1,liked
U8,504,4.9,1,0,liked
U7,128,4.6,1,1,liked
U12,578,4.8,1,1,visited
U4,281,4.6,1,1,visited
U4,260,4.5,1,1,liked
U5,662,4.8,1,1,liked
U8,610,4.5,1,1,visited
U2,281,4.9,1,0,liked
U1,131,4.4,1,0,liked
U8,437,4.6,1,1,liked
U7,768,4.9,1,0,liked
U6,626,4.7,1,1,liked
U9,569,4.9,1,1,liked
U5,142,4.5,1,1,visited
U19,297,4.7,1,1,visited
U2,756,4.4,1,1,visited
U2,713,4.9,1,1,visited
U3,563,4.6,1,1,visited
U13,349,4.5,1,0,liked
U19,739,4.6,1,1,visited
U20,211,4.7,1,1,visited
U9,511,4.9,1,1,visited
U8,62,4.5,1,1,visited
U15,483,4.5,1,0,liked
U3,713,4.7,1,1,visited
U3,143,4.7,1,1,visited
U5,89,4.6,1,0,liked
U8,647,4.6,1,1,liked
U18,771,5,1,1,visited
U18,3,4.6,1,0,liked
U4,299,4.5,1,1,visited
U18,764,4.7,1,1,visited
U11,759,4.6,1,1,visited
U17,769,4.9,1,1,visited
U3,770,5,1,1,visited
U2,9,4.5,1,1,visited
U9,260,4.5,1,0,liked
U18,194,4.7,1,1,visited
U4,597,4.5,1,0,liked
U5,781,4.7,1,1,visited
U19,514,4.8,1,1,visited
U2,215,4.7,1,1,visited
U12,380,4.7,1,1,visited
U12,761,4.8,1,0,liked
U14,626,4.7,1,0,liked
U8,143,4.6,1,0,liked
U6,392,4.7,1,1,visited
U14,460,5,1,0,liked
U8,423,4.6,1,1,visited
U13,741,4.6,1,0,liked
U8,77,4.6,1,0,liked
U15,327,4.7,1,1,visited
U8,311,4.5,1,1,liked
U11,704,4.6,1,0,liked
