place_id,place_name,category,city,latitude,longitude,rating,user_ratings_total,fame_score,user_type,user_preferences,budget,seasonal_suitability,best_time_to_visit,source
1,Emporium Mall,Shopping Mall,Lahore,31.4678861,74.266003,4.6,76981,1276.29,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
2,Centaurus Mall,Shopping Mall,Islamabad,33.7077281,73.0497919,4.8,81114,1253.14,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
3,LuckyOne Mall,Shopping Mall,Karachi,24.9323526,67.0872638,4.6,71434,1229.45,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
4,Packages Mall,Shopping Mall,Lahore,31.4715199,74.3555422,4.6,69743,1214.81,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
5,Dolmen Mall - Clifton,Shopping Mall,Karachi,24.8021323,67.0300195,4.6,47894,1006.7,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
6,Giga Mall,Shopping Mall,Islamabad,33.5211113,73.1585192,4.7,49336,999.53,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
7,Atrium Mall,Shopping Mall,Karachi,24.8560738,67.0302714,4.3,39295,852.39,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
8,Safa Gold Mall,Shopping Mall,Islamabad,33.7207086,73.0555015,4.6,34225,795.5,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
9,Fatima Jinnah Park (F-9 Park),Park,Islamabad,33.6960734,73.017796,4.8,29543,790.65,"Family, Friends","relaxing, picnic",Low,Summer,"Morning, Evening",Google Maps API (Adaptive AI Filtered Research Model)
10,"Jilani Park (Race Course), Lahore",Tourist Attraction,Lahore,31.5444814,74.3345479,4.6,28653,778.65,"Family, Friends",exploring,Medium,All-season,All-day,Google Maps API (Adaptive AI Filtered Research Model)
11,Ayub National Park,Park,Islamabad,33.5710169,73.0830304,4.7,29577,773.91,"Family, Friends","relaxing, picnic",Low,Summer,"Morning, Evening",Google Maps API (Adaptive AI Filtered Research Model)
12,Jinnah Park,Park,Islamabad,33.5841594,73.0723764,4.5,28089,754.19,"Family, Friends","relaxing, picnic",Low,Summer,"Morning, Evening",Google Maps API (Adaptive AI Filtered Research Model)
13,Daman-e-Koh,Tourist Attraction,Islamabad,33.7383209,73.0565188,4.6,26162,744.03,"Family, Friends",exploring,Medium,All-season,All-day,Google Maps API (Adaptive AI Filtered Research Model)
14,Lahore Fort,Tourist Attraction,Lahore,31.5882737,74.3154525,4.6,26158,743.98,"Family, Friends",exploring,Medium,All-season,All-day,Google Maps API (Adaptive AI Filtered Research Model)
15,Fortress Square Mall,Shopping Mall,Lahore,31.5324346,74.3631963,4.4,27812,733.78,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
16,Ayubia National Park,Park,Murree,34.0642272,73.4062342,4.5,25132,713.39,"Family, Friends","relaxing, picnic",Low,Summer,"Morning, Evening",Google Maps API (Adaptive AI Filtered Research Model)
17,Carrefour,Shopping Mall,Lahore,31.4718078,74.3547335,4.4,24882,694.06,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
18,Millennium Mall,Shopping Mall,Karachi,24.9012696,67.1153213,4.1,27962,685.6,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
19,Delhi Gate,Tourist Attraction,Lahore,31.5821796,74.326425,4.6,21200,669.77,"Family, Friends",exploring,Medium,All-season,All-day,Google Maps API (Adaptive AI Filtered Research Model)
20,Pakistan Monument,Tourist Attraction,Islamabad,33.6933346,73.0682284,4.6,21112,668.38,"Family, Friends",exploring,Medium,All-season,All-day,Google Maps API (Adaptive AI Filtered Research Model)
21,Model Town Park,Park,Lahore,31.4845625,74.3263125,4.5,21654,662.19,"Family, Friends","relaxing, picnic",Low,All-season,"Morning, Evening",Google Maps API (Adaptive AI Filtered Research Model)
22,TDCP Patriata Chairlift and Cable Car,Tourist Attraction,Murree,33.8741875,73.4580625,4.6,20762,634,"Family, Friends",exploring,Low,Summer,All-day,Google Maps API (Adaptive AI Filtered Research Model)
23,Amanah Mall,Shopping Mall,Lahore,31.4669702,74.3159132,4.3,20484,615.43,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
24,The Ocean Mall,Shopping Mall,Karachi,24.823792,67.0355235,4.5,19141,608.74,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
25,Panorama Shopping Centre,Shopping Mall,Lahore,31.5616656,74.3211627,4.2,19306,583.57,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
26,Eiffel Tower Bahria Town Lahore,Tourist Attraction,Lahore,31.3557674,74.1847287,4.5,16715,581.79,"Family, Friends",exploring,Medium,All-season,All-day,Google Maps API (Adaptive AI Filtered Research Model)
27,Lok Virsa Heritage Museum,Tourist Attraction,Islamabad,33.6884661,73.0726757,4.6,14997,563.33,"Family, Friends",exploring,Medium,All-season,All-day,Google Maps API (Adaptive AI Filtered Research Model)
28,Lake View Park,Park,Islamabad,33.711785,73.1319963,4.5,14600,543.74,"Family, Friends","relaxing, picnic",medium,Summer,"Morning, Evening",Google Maps API (Adaptive AI Filtered Research Model)
29,Mall of Lahore,Shopping Mall,Lahore,31.5292971,74.3787239,4.3,14028,509.29,"Family, Friends","shopping, dining",Medium,All-season,"Evening, Night",Google Maps API (Adaptive AI Filtered Research Model)
